year,"disaster type","Country iso, Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
2004,Landslide,IDN,Indonesia,4,119,5000,18,0,5018,3500
2004,Landslide,PHL,Philippines,1,8,0,6,0,6,0
2004,Landslide,THA,Thailand,1,3,100,10,0,110,0
2004,Landslide,VNM,"Viet Nam",1,23,0,0,0,0,0
2004,"Miscellaneous accident",IDN,Indonesia,2,0,0,101,2500,2601,0
2004,"Miscellaneous accident",MMR,Myanmar,1,30,0,30,0,30,0
2004,"Miscellaneous accident",PHL,Philippines,3,12,0,23,20200,20223,0
2004,"Miscellaneous accident",THA,Thailand,1,0,0,0,3500,3500,0
2004,Storm,IDN,Indonesia,2,4,3715,0,0,3715,0
2004,Storm,MYS,Malaysia,2,1,41000,0,0,41000,0
2004,Storm,MMR,Myanmar,1,236,0,0,25000,25000,688
2004,Storm,PHL,Philippines,8,1861,3232763,1315,7200,3241278,138867
2004,Storm,THA,Thailand,2,14,9000,0,50,9050,0
2004,Storm,VNM,"Viet Nam",2,70,500900,5,0,500905,30000
2004,"Transport accident",IDN,Indonesia,8,340,35,77,0,112,0
2004,"Transport accident",PHL,Philippines,3,168,765,120,0,885,0
2004,"Transport accident",THA,Thailand,2,39,0,30,0,30,0
2004,"Transport accident",VNM,"Viet Nam",1,50,0,0,0,0,0
2004,"Volcanic activity",IDN,Indonesia,4,2,43443,105,0,43548,0
2005,Drought,KHM,Cambodia,1,0,600000,0,0,600000,0
2005,Drought,THA,Thailand,1,0,0,0,0,0,420000
2005,Drought,VNM,"Viet Nam",1,0,410000,0,0,410000,42120
2005,Earthquake,IDN,Indonesia,2,916,104847,1150,0,105997,0
2005,Epidemic,KHM,Cambodia,1,7,0,0,0,0,0
2005,Epidemic,IDN,Indonesia,2,87,350,0,0,350,0
2005,Epidemic,VNM,"Viet Nam",1,16,83,0,0,83,0
2005,Flood,KHM,Cambodia,1,16,0,0,0,0,0
2005,Flood,IDN,Indonesia,3,154,20531,259,0,20790,0
2005,Flood,MYS,Malaysia,2,13,30600,0,0,30600,0
2005,Flood,PHL,Philippines,2,5,193046,0,0,193046,515
2005,Flood,THA,Thailand,2,76,819270,40,0,819310,218000
2005,Flood,VNM,"Viet Nam",5,192,74185,3,18205,92393,54000
2005,"Industrial accident",PHL,Philippines,1,24,0,0,0,0,0
2005,Landslide,IDN,Indonesia,2,168,0,10,0,10,5000
2005,Landslide,MMR,Myanmar,1,17,0,16,0,16,0
2005,"Miscellaneous accident",KHM,Cambodia,1,13,0,0,0,0,0
2005,"Miscellaneous accident",PHL,Philippines,4,29,0,241,4500,4741,182
2005,Storm,PHL,Philippines,2,34,20011,0,0,20011,2000
2005,Storm,THA,Thailand,2,10,3500,0,0,3500,20246
2005,Storm,VNM,"Viet Nam",4,116,367632,28,0,367660,250250
2005,"Transport accident",IDN,Indonesia,6,418,48,128,0,176,0
2005,"Transport accident",PHL,Philippines,1,24,0,9,0,9,0
2005,"Transport accident",THA,Thailand,3,27,0,265,0,265,0
2005,"Transport accident",VNM,"Viet Nam",5,94,1,84,0,85,0
2005,"Volcanic activity",IDN,Indonesia,1,0,26000,0,0,26000,0
2005,Wildfire,IDN,Indonesia,1,0,0,0,0,0,0
2005,Wildfire,MYS,Malaysia,1,0,0,0,0,0,0
2005,Wildfire,THA,Thailand,1,0,0,0,0,0,0
2006,Earthquake,IDN,Indonesia,5,6592,2377945,138642,699395,3215982,3155000
2006,Epidemic,KHM,Cambodia,1,0,4368,0,0,4368,0
2006,Flood,KHM,Cambodia,2,5,38000,0,0,38000,0
2006,Flood,IDN,Indonesia,8,645,698141,97,670,698908,107300
2006,Flood,MYS,Malaysia,4,6,106518,0,0,106518,22000
2006,Flood,MMR,Myanmar,1,25,10000,0,0,10000,0
2006,Flood,PHL,Philippines,6,36,732509,0,0,732509,14157
2006,Flood,THA,Thailand,3,280,2557308,0,0,2557308,34940
2006,Flood,VNM,"Viet Nam",5,178,50000,120,2000,52120,9000
2006,"Industrial accident",IDN,Indonesia,3,36,0,11,36000,36011,0
2006,"Industrial accident",PHL,Philippines,2,0,21000,0,0,21000,0
2006,Landslide,IDN,Indonesia,3,184,3000,13,8300,11313,37943
2006,Landslide,PHL,Philippines,3,1143,14607,44,0,14651,2203
2006,"Miscellaneous accident",IDN,Indonesia,1,23,0,0,0,0,0
2006,"Miscellaneous accident",PHL,Philippines,3,97,0,443,11200,11643,976
2006,Storm,MMR,Myanmar,1,34,60075,31,0,60106,0
2006,Storm,PHL,Philippines,10,1805,7819149,2659,0,7821808,330921
2006,Storm,VNM,"Viet Nam",6,401,2944720,1890,350680,3297290,1090000
2006,"Transport accident",IDN,Indonesia,10,722,485,40,0,525,0
2006,"Transport accident",VNM,"Viet Nam",1,19,0,0,0,0,0
2006,"Volcanic activity",IDN,Indonesia,1,0,11000,0,0,11000,0
2006,"Volcanic activity",PHL,Philippines,1,0,43849,0,0,43849,0
2006,Wildfire,IDN,Indonesia,1,0,0,200,0,200,14000
2007,Drought,PHL,Philippines,1,0,0,0,0,0,0
2007,Earthquake,IDN,Indonesia,4,95,579969,2727,36800,619496,700000
2007,Epidemic,KHM,Cambodia,1,182,17000,0,0,17000,0
2007,Epidemic,IDN,Indonesia,3,403,35211,0,0,35211,0
2007,Epidemic,LAO,"Lao P Dem Rep",1,2,0,0,0,0,0
2007,Epidemic,MYS,Malaysia,1,56,0,0,0,0,0
2007,Epidemic,MMR,Myanmar,1,30,0,0,0,0,0
2007,Epidemic,VNM,"Viet Nam",1,27,0,0,0,0,0
2007,Flood,KHM,Cambodia,1,2,19000,0,0,19000,1000
2007,Flood,IDN,Indonesia,8,438,559538,134,9875,569547,971000
2007,Flood,MYS,Malaysia,2,46,137533,0,29000,166533,968000
2007,Flood,MMR,Myanmar,4,5,162317,110,4237,166664,0
2007,Flood,PHL,Philippines,5,40,86747,0,0,86747,6600
2007,Flood,THA,Thailand,5,53,183000,0,0,183000,1500
2007,Flood,VNM,"Viet Nam",5,230,962000,172,0,962172,790000
2007,"Industrial accident",VNM,"Viet Nam",2,82,0,80,0,80,2000
2007,Landslide,IDN,Indonesia,2,43,3990,0,0,3990,0
2007,"Miscellaneous accident",IDN,Indonesia,1,50,0,0,0,0,0
2007,"Miscellaneous accident",PHL,Philippines,1,0,0,0,13997,13997,0
2007,Storm,PHL,Philippines,9,89,1922285,24,0,1922309,10215
2007,Storm,VNM,"Viet Nam",1,96,637755,150,47525,685430,191000
2007,"Transport accident",KHM,Cambodia,1,22,0,0,0,0,0
2007,"Transport accident",IDN,Indonesia,8,358,10,170,0,180,0
2007,"Transport accident",MMR,Myanmar,2,51,0,0,0,0,0
2007,"Transport accident",PHL,Philippines,2,66,124,30,0,154,0
2007,"Transport accident",THA,Thailand,5,160,0,207,0,207,0
2007,"Transport accident",VNM,"Viet Nam",1,13,0,24,0,24,0
2007,"Volcanic activity",IDN,Indonesia,2,0,31912,0,0,31912,0
2007,"Volcanic activity",PHL,Philippines,1,0,14036,0,0,14036,0
2008,Drought,THA,Thailand,1,0,10000000,0,0,10000000,0
2008,Earthquake,IDN,Indonesia,3,11,10565,162,0,10727,0
2008,Flood,IDN,Indonesia,12,112,473275,0,2920,476195,1733
2008,Flood,LAO,"Lao P Dem Rep",1,6,204190,0,0,204190,0
2008,Flood,MYS,Malaysia,2,0,8000,0,0,8000,0
2008,Flood,PHL,Philippines,8,116,1552848,41,50000,1602889,39577
2008,Flood,THA,Thailand,3,39,1572157,0,0,1572157,27844
2008,Flood,VNM,"Viet Nam",5,157,632500,4,0,632504,483000
2008,"Industrial accident",IDN,Indonesia,1,25,0,0,0,0,0
2008,Landslide,IDN,Indonesia,1,21,0,0,0,0,0
2008,Landslide,PHL,Philippines,1,24,5000,28,0,5028,0
2008,"Miscellaneous accident",IDN,Indonesia,2,37,0,11,0,11,0
2008,"Miscellaneous accident",PHL,Philippines,1,1,0,3,5000,5003,0
2008,Storm,MMR,Myanmar,1,138366,2400000,20000,0,2420000,4000000
2008,Storm,PHL,Philippines,11,819,6846388,946,4645,6851979,441625
2008,Storm,THA,Thailand,2,0,0,0,1000,1000,0
2008,Storm,VNM,"Viet Nam",5,254,143830,159,12660,156649,190500
