year,"Country iso, Country name",occurrence,disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage,
2010,MMR,Myanmar,Transport accident,1,22,0,0,0,0,0
2011,MMR,Myanmar,Earthquake,1,74,18000,125,3152,21277,3600
2011,MMR,Myanmar,Flood,1,151,35734,0,0,35734,1700
2011,MMR,Myanmar,Miscellaneous accident,1,15,0,65,0,65,0
2012,MMR,Myanmar,Earthquake,1,38,1255,231,0,1486,1170
2012,MMR,Myanmar,Flood,1,2,85000,0,0,85000,0
2013,MMR,Myanmar,Flood,1,7,73300,0,0,73300,0
2013,MMR,Myanmar,Landslide,1,16,0,0,0,0,0
2013,MMR,Myanmar,Miscellaneous accident,1,13,0,0,0,0,0
2013,MMR,Myanmar,Transport accident,4,185,0,49,0,49,0
2014,MMR,Myanmar,Flood,2,0,40000,0,0,40000,0
2000,PHL,Philippines,Epidemic,1,1,664,0,0,664,0
2000,PHL,Philippines,Flood,3,55,160393,0,5250,165643,4080
2000,PHL,Philippines,Landslide,1,287,2800,38,0,2838,0
2000,PHL,Philippines,Mass movement (dry),1,11,0,0,0,0,0
2000,PHL,Philippines,Storm,6,394,6067076,355,120000,6187431,83464
2000,PHL,Philippines,Transport accident,5,343,0,47,0,47,0
2000,PHL,Philippines,Volcanic activity,1,0,68426,0,0,68426,2214
2001,PHL,Philippines,Flood,3,43,91300,0,0,91300,8000
2001,PHL,Philippines,Miscellaneous accident,1,73,0,51,0,51,0
2001,PHL,Philippines,Storm,6,587,3349957,480,100000,3450437,99061
2001,PHL,Philippines,Transport accident,2,35,0,0,0,0,0
2001,PHL,Philippines,Volcanic activity,2,0,83221,0,0,83221,2580
2002,PHL,Philippines,Drought,1,0,0,0,0,0,453
2002,PHL,Philippines,Earthquake,1,15,73351,100,0,73451,1714
2002,PHL,Philippines,Flood,4,90,155500,67,0,155567,1842
2002,PHL,Philippines,Storm,6,215,979128,66,3000,982194,13534
2002,PHL,Philippines,Transport accident,7,207,0,76,0,76,0
2003,PHL,Philippines,Epidemic,1,2,12,0,0,12,0
2003,PHL,Philippines,Flood,1,0,3500,0,0,3500,0
2003,PHL,Philippines,Landslide,1,255,217934,54,0,217988,7000
2003,PHL,Philippines,Miscellaneous accident,1,37,0,0,0,0,0
2003,PHL,Philippines,Storm,8,95,383037,21,83203,466261,35302
2003,PHL,Philippines,Transport accident,2,101,203,0,0,203,0
2004,PHL,Philippines,Epidemic,1,32,98,0,0,98,0
2004,PHL,Philippines,Flood,3,49,20194,0,1500,21694,0
2004,PHL,Philippines,Landslide,1,8,0,6,0,6,0
2004,PHL,Philippines,Miscellaneous accident,3,12,0,23,20200,20223,0
2004,PHL,Philippines,Storm,8,1861,3232763,1315,7200,3241278,138867
2004,PHL,Philippines,Transport accident,3,168,765,120,0,885,0
2005,PHL,Philippines,Flood,2,5,193046,0,0,193046,515
2005,PHL,Philippines,Industrial accident,1,24,0,0,0,0,0
2005,PHL,Philippines,Miscellaneous accident,4,29,0,241,4500,4741,182
2005,PHL,Philippines,Storm,2,34,20011,0,0,20011,2000
2005,PHL,Philippines,Transport accident,1,24,0,9,0,9,0
2006,PHL,Philippines,Flood,6,36,732509,0,0,732509,14157
2006,PHL,Philippines,Industrial accident,2,0,21000,0,0,21000,0
2006,PHL,Philippines,Landslide,3,1143,14607,44,0,14651,2203
2006,PHL,Philippines,Miscellaneous accident,3,97,0,443,11200,11643,976
2006,PHL,Philippines,Storm,10,1805,7819149,2659,0,7821808,330921
2006,PHL,Philippines,Volcanic activity,1,0,43849,0,0,43849,0
2007,PHL,Philippines,Drought,1,0,0,0,0,0,0
2007,PHL,Philippines,Flood,5,40,86747,0,0,86747,6600
2007,PHL,Philippines,Miscellaneous accident,1,0,0,0,13997,13997,0
2007,PHL,Philippines,Storm,9,89,1922285,24,0,1922309,10215
2007,PHL,Philippines,Transport accident,2,66,124,30,0,154,0
2007,PHL,Philippines,Volcanic activity,1,0,14036,0,0,14036,0
2008,PHL,Philippines,Flood,8,116,1552848,41,50000,1602889,39577
2008,PHL,Philippines,Landslide,1,24,5000,28,0,5028,0
2008,PHL,Philippines,Miscellaneous accident,1,1,0,3,5000,5003,0
2008,PHL,Philippines,Storm,11,819,6846388,946,4645,6851979,441625
2008,PHL,Philippines,Transport accident,3,913,171,0,0,171,0
2009,PHL,Philippines,Earthquake,1,0,380,2,10,392,90
2009,PHL,Philippines,Flood,8,55,1083261,15,0,1083276,29314
2009,PHL,Philippines,Landslide,1,10,0,16,0,16,0
2009,PHL,Philippines,Storm,14,1242,12220696,867,100,12221663,932703
2009,PHL,Philippines,Transport accident,4,99,957,0,0,957,0
2009,PHL,Philippines,Volcanic activity,1,0,47137,0,0,47137,0
2010,PHL,Philippines,Epidemic,1,737,0,123939,0,123939,0
2010,PHL,Philippines,Flood,9,162,2846913,22,0,2846935,50589
2010,PHL,Philippines,Landslide,1,2,925,2,0,927,78
2010,PHL,Philippines,Miscellaneous accident,2,15,0,0,2000,2000,0
2010,PHL,Philippines,Storm,3,212,2595412,133,0,2595545,284420
2010,PHL,Philippines,Transport accident,4,77,14,20,0,34,0
2010,PHL,Philippines,Volcanic activity,1,0,14161,0,0,14161,0
2011,PHL,Philippines,Earthquake,1,0,25,3,0,28,0
2011,PHL,Philippines,Epidemic,3,56,7395,200,0,7595,0
2011,PHL,Philippines,Flood,15,122,2218638,190,0,2218828,202787
2011,PHL,Philippines,Landslide,3,29,870,19,0,889,0
2011,PHL,Philippines,Miscellaneous accident,3,13,0,17,30000,30017,701
2011,PHL,Philippines,Storm,12,1782,9462385,6291,0,9468676,527238
2011,PHL,Philippines,Transport accident,2,40,1,20,0,21,0
2011,PHL,Philippines,Volcanic activity,2,0,33931,0,0,33931,0
2012,PHL,Philippines,Earthquake,3,114,353034,123,0,353157,12144
2012,PHL,Philippines,Epidemic,1,30,3158,0,0,3158,0
2012,PHL,Philippines,Flood,8,157,4578850,16,35762,4614628,75330
2012,PHL,Philippines,Landslide,1,75,7,16,0,23,0
2012,PHL,Philippines,Miscellaneous accident,1,18,0,3,0,3,0
2012,PHL,Philippines,Storm,9,2039,7557756,2724,0,7560480,918137
2012,PHL,Philippines,Transport accident,1,24,0,0,0,0,0
2013,PHL,Philippines,Earthquake,1,230,3221248,976,0,3222224,51459
2013,PHL,Philippines,Flood,5,105,4500279,59,0,4500338,2234788
2013,PHL,Philippines,Storm,8,7415,17915713,28858,0,17944571,10136563
2013,PHL,Philippines,Transport accident,2,159,629,20,0,649,0
2014,PHL,Philippines,Flood,3,5,145130,0,0,145130,0
2014,PHL,Philippines,Miscellaneous accident,1,2,0,599,0,599,0
2014,PHL,Philippines,Storm,9,326,13066714,2269,0,13068983,1062899
2014,PHL,Philippines,Transport accident,1,0,14,0,0,14,0
2014,PHL,Philippines,Volcanic activity,1,0,60545,0,0,60545,0
2000,SGP,Singapore,Epidemic,1,2,2022,0,0,2022,0
2003,SGP,Singapore,Epidemic,1,33,205,0,0,205,0
2000,THA,Thailand,Epidemic,1,89,1946,0,0,1946,0
2000,THA,Thailand,Flood,4,107,3323231,570,0,3323801,109056
2000,THA,Thailand,Industrial accident,1,1,200,194,0,394,0
2000,THA,Thailand,Miscellaneous accident,1,0,0,0,800,800,3517
2000,THA,Thailand,Storm,1,2,41219,0,0,41219,0
2000,THA,Thailand,Transport accident,5,105,0,112,0,112,0
2001,THA,Thailand,Flood,6,222,465510,139,4730,470379,28500
2001,THA,Thailand,Industrial accident,1,11,0,26,0,26,0
2001,THA,Thailand,Miscellaneous accident,1,17,5000,90,0,5090,0
2001,THA,Thailand,Storm,1,0,150,0,0,150,0
2001,THA,Thailand,Transport accident,2,32,0,27,0,27,0
2002,THA,Thailand,Drought,1,0,5000000,0,0,5000000,2300
2002,THA,Thailand,Flood,2,154,3290858,62,0,3290920,35827
2002,THA,Thailand,Landslide,1,35,0,0,33000,33000,0
2002,THA,Thailand,Storm,2,1,27000,100,3104,30204,2000
2002,THA,Thailand,Transport accident,2,25,0,37,0,37,0
2003,THA,Thailand,Epidemic,2,9,11,0,0,11,0
2003,THA,Thailand,Flood,3,9,107700,0,0,107700,26400
2003,THA,Thailand,Storm,1,0,5000,0,0,5000,0
2004,THA,Thailand,Earthquake,1,8345,58550,8457,0,67007,1000000
2004,THA,Thailand,Epidemic,1,14,8,0,0,8,0
2004,THA,Thailand,Flood,3,13,507000,0,0,507000,175000
2004,THA,Thailand,Industrial accident,1,14,0,2,0,2,0
2004,THA,Thailand,Landslide,1,3,100,10,0,110,0
2004,THA,Thailand,Miscellaneous accident,1,0,0,0,3500,3500,0
2004,THA,Thailand,Storm,2,14,9000,0,50,9050,0
2004,THA,Thailand,Transport accident,2,39,0,30,0,30,0
2005,THA,Thailand,Drought,1,0,0,0,0,0,420000
2005,THA,Thailand,Flood,2,76,819270,40,0,819310,218000
2005,THA,Thailand,Storm,2,10,3500,0,0,3500,20246
2005,THA,Thailand,Transport accident,3,27,0,265,0,265,0
2005,THA,Thailand,Wildfire,1,0,0,0,0,0,0
2006,THA,Thailand,Flood,3,280,2557308,0,0,2557308,34940
2007,THA,Thailand,Flood,5,53,183000,0,0,183000,1500
2007,THA,Thailand,Transport accident,5,160,0,207,0,207,0
2008,THA,Thailand,Drought,1,0,10000000,0,0,10000000,0
2008,THA,Thailand,Flood,3,39,1572157,0,0,1572157,27844
2008,THA,Thailand,Storm,2,0,0,0,1000,1000,0
2008,THA,Thailand,Transport accident,2,32,0,27,0,27,0
2009,THA,Thailand,Flood,1,15,200000,0,0,200000,0
2009,THA,Thailand,Miscellaneous accident,1,66,0,200,0,200,0
2009,THA,Thailand,Transport accident,1,17,0,59,0,59,0
2010,THA,Thailand,Drought,1,0,6482602,0,0,6482602,0
2010,THA,Thailand,Epidemic,1,2,880,0,0,880,0
2010,THA,Thailand,Flood,1,258,8970653,0,0,8970653,332000
2010,THA,Thailand,Miscellaneous accident,1,0,0,0,300,300,0
2011,THA,Thailand,Drought,1,0,0,0,0,0,0
2011,THA,Thailand,Earthquake,1,1,0,16,0,16,0
2011,THA,Thailand,Epidemic,1,27,37728,0,0,37728,0
2011,THA,Thailand,Flood,2,877,10216110,0,0,10216110,40317000
2011,THA,Thailand,Storm,1,18,1000000,0,0,1000000,0
2011,THA,Thailand,Transport accident,1,12,0,4,0,4,0
2012,THA,Thailand,Flood,1,0,235545,0,0,235545,0
2012,THA,Thailand,Industrial accident,1,12,0,129,0,129,0
2013,THA,Thailand,Flood,3,84,3500000,0,15254,3515254,579000
2013,THA,Thailand,Miscellaneous accident,1,42,0,0,0,0,0
2013,THA,Thailand,Transport accident,4,78,0,20,0,20,0
2014,THA,Thailand,Drought,1,0,0,0,0,0,0
2014,THA,Thailand,Earthquake,1,1,17500,23,0,17523,62000
2014,THA,Thailand,Extreme temperature ,1,63,1000000,0,0,1000000,0
2014,THA,Thailand,Flood,4,29,131280,8,0,131288,10000
2014,THA,Thailand,Industrial accident,1,10,0,17,0,17,0
2014,THA,Thailand,Storm,1,0,0,0,2000,2000,0
2014,THA,Thailand,Transport accident,3,75,0,53,0,53,0
2000,VNM,Viet Nam,Flood,2,496,5025000,7,0,5025007,265000
2000,VNM,Viet Nam,Landslide,2,73,0,39,0,39,0
2000,VNM,Viet Nam,Storm,7,23,2505,169,11860,14534,26035
2000,VNM,Viet Nam,Transport accident,1,57,0,11,0,11,0
2001,VNM,Viet Nam,Flood,4,339,1608445,6,0,1608451,88700
2001,VNM,Viet Nam,Miscellaneous accident,1,0,0,4,500,504,0
2001,VNM,Viet Nam,Storm,3,53,177450,89,23100,200639,83200
2001,VNM,Viet Nam,Transport accident,5,70,0,22,0,22,0
2002,VNM,Viet Nam,Drought,1,0,1300000,0,0,1300000,200000
2002,VNM,Viet Nam,Flood,3,147,1431700,116,0,1431816,84100
2002,VNM,Viet Nam,Miscellaneous accident,1,60,0,100,0,100,2000
2002,VNM,Viet Nam,Storm,1,0,1800,0,0,1800,100
2002,VNM,Viet Nam,Wildfire,1,0,0,0,0,0,0
2003,VNM,Viet Nam,Epidemic,2,20,66,0,0,66,0
2003,VNM,Viet Nam,Flood,3,128,402880,63,13880,416823,105000
2003,VNM,Viet Nam,Industrial accident,2,12,3500,35,0,3535,0
