occurrence,year,"Country iso, Country name",disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 US$)
Indonesia,2013,IDN,Landslide,2,34,0,3,0,0
Indonesia,2013,IDN,Miscellaneous accident,1,17,0,38,0,0
Indonesia,2013,IDN,Transport accident,2,47,189,0,0,0
Indonesia,2013,IDN,Volcanic activity,2,0,42027,0,0,0
Indonesia,2014,IDN,Flood,6,77,417977,0,5250,926000
Indonesia,2014,IDN,Industrial accident,3,46,0,5,0,0
Indonesia,2014,IDN,Landslide,2,127,1900,0,2000,0
Indonesia,2014,IDN,Transport accident,5,262,53,0,0,0
Indonesia,2014,IDN,Volcanic activity,2,39,115088,72,0,186000
Lao P Dem Rep,2000,LAO,Epidemic,2,44,9685,0,0,0
Lao P Dem Rep,2000,LAO,Flood,1,15,450000,0,0,1000
Lao P Dem Rep,2000,LAO,Transport accident,2,28,0,5,0,0
Lao P Dem Rep,2001,LAO,Flood,1,0,453000,0,0,0
Lao P Dem Rep,2002,LAO,Flood,1,2,150000,0,0,0
Lao P Dem Rep,2007,LAO,Epidemic,1,2,0,0,0,0
Lao P Dem Rep,2008,LAO,Flood,1,6,204190,0,0,0
Lao P Dem Rep,2009,LAO,Flood,1,10,0,0,0,0
Lao P Dem Rep,2009,LAO,Storm,1,16,128796,91,0,100000
Lao P Dem Rep,2011,LAO,Flood,2,48,467000,0,0,0
Lao P Dem Rep,2013,LAO,Epidemic,1,77,36000,0,0,0
Lao P Dem Rep,2013,LAO,Flood,2,23,574176,77,0,121000
Lao P Dem Rep,2013,LAO,Transport accident,1,49,0,0,0,0
Lao P Dem Rep,2014,LAO,Flood,1,0,750,0,0,0
Malaysia,2000,MYS,Epidemic,2,4,988,0,0,0
Malaysia,2000,MYS,Flood,1,12,8000,0,0,1000
Malaysia,2000,MYS,Storm,1,0,500,0,0,0
Malaysia,2000,MYS,Transport accident,2,68,0,0,0,0
Malaysia,2001,MYS,Flood,4,11,33200,0,0,0
Malaysia,2001,MYS,Transport accident,1,14,0,0,0,0
Malaysia,2002,MYS,Landslide,1,10,0,0,0,0
Malaysia,2002,MYS,Storm,1,2,155,0,0,0
