occurrence,year,"Country iso, Country name",disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage,
Singapore,2000,SGP,Epidemic,1,2,2022,0,0,2022,0
Singapore,2003,SGP,Epidemic,1,33,205,0,0,205,0
Thailand,2000,THA,Epidemic,1,89,1946,0,0,1946,0
Thailand,2000,THA,Flood,4,107,3323231,570,0,3323801,109056
Thailand,2000,THA,Industrial accident,1,1,200,194,0,394,0
Thailand,2000,THA,Miscellaneous accident,1,0,0,0,800,800,3517
Thailand,2000,THA,Storm,1,2,41219,0,0,41219,0
Thailand,2000,THA,Transport accident,5,105,0,112,0,112,0
Thailand,2001,THA,Flood,6,222,465510,139,4730,470379,28500
Thailand,2001,THA,Industrial accident,1,11,0,26,0,26,0
Thailand,2001,THA,Miscellaneous accident,1,17,5000,90,0,5090,0
Thailand,2001,THA,Storm,1,0,150,0,0,150,0
Thailand,2001,THA,Transport accident,2,32,0,27,0,27,0
Thailand,2002,THA,Drought,1,0,5000000,0,0,5000000,2300
Thailand,2002,THA,Flood,2,154,3290858,62,0,3290920,35827
Thailand,2002,THA,Landslide,1,35,0,0,33000,33000,0
Thailand,2002,THA,Storm,2,1,27000,100,3104,30204,2000
Thailand,2002,THA,Transport accident,2,25,0,37,0,37,0
Thailand,2003,THA,Epidemic,2,9,11,0,0,11,0
Thailand,2003,THA,Flood,3,9,107700,0,0,107700,26400
Thailand,2003,THA,Storm,1,0,5000,0,0,5000,0
Thailand,2004,THA,Earthquake,1,8345,58550,8457,0,67007,1000000
Thailand,2004,THA,Epidemic,1,14,8,0,0,8,0
Thailand,2004,THA,Flood,3,13,507000,0,0,507000,175000
Thailand,2004,THA,Industrial accident,1,14,0,2,0,2,0
Thailand,2004,THA,Landslide,1,3,100,10,0,110,0
Thailand,2004,THA,Miscellaneous accident,1,0,0,0,3500,3500,0
Thailand,2004,THA,Storm,2,14,9000,0,50,9050,0
Thailand,2004,THA,Transport accident,2,39,0,30,0,30,0
Thailand,2005,THA,Drought,1,0,0,0,0,0,420000
Thailand,2005,THA,Flood,2,76,819270,40,0,819310,218000
Thailand,2005,THA,Storm,2,10,3500,0,0,3500,20246
Thailand,2005,THA,Transport accident,3,27,0,265,0,265,0
Thailand,2005,THA,Wildfire,1,0,0,0,0,0,0
Thailand,2006,THA,Flood,3,280,2557308,0,0,2557308,34940
Thailand,2007,THA,Flood,5,53,183000,0,0,183000,1500
Thailand,2007,THA,Transport accident,5,160,0,207,0,207,0
Thailand,2008,THA,Drought,1,0,10000000,0,0,10000000,0
Thailand,2008,THA,Flood,3,39,1572157,0,0,1572157,27844
Thailand,2008,THA,Storm,2,0,0,0,1000,1000,0
Thailand,2008,THA,Transport accident,2,32,0,27,0,27,0
Thailand,2009,THA,Flood,1,15,200000,0,0,200000,0
Thailand,2009,THA,Miscellaneous accident,1,66,0,200,0,200,0
Thailand,2009,THA,Transport accident,1,17,0,59,0,59,0
Thailand,2010,THA,Drought,1,0,6482602,0,0,6482602,0
Thailand,2010,THA,Epidemic,1,2,880,0,0,880,0
Thailand,2010,THA,Flood,1,258,8970653,0,0,8970653,332000
Thailand,2010,THA,Miscellaneous accident,1,0,0,0,300,300,0
Thailand,2011,THA,Drought,1,0,0,0,0,0,0
Thailand,2011,THA,Earthquake,1,1,0,16,0,16,0
Thailand,2011,THA,Epidemic,1,27,37728,0,0,37728,0
Thailand,2011,THA,Flood,2,877,10216110,0,0,10216110,40317000
Thailand,2011,THA,Storm,1,18,1000000,0,0,1000000,0
Thailand,2011,THA,Transport accident,1,12,0,4,0,4,0
Thailand,2012,THA,Flood,1,0,235545,0,0,235545,0
Thailand,2012,THA,Industrial accident,1,12,0,129,0,129,0
Thailand,2013,THA,Flood,3,84,3500000,0,15254,3515254,579000
Thailand,2013,THA,Miscellaneous accident,1,42,0,0,0,0,0
Thailand,2013,THA,Transport accident,4,78,0,20,0,20,0
Thailand,2014,THA,Drought,1,0,0,0,0,0,0
Thailand,2014,THA,Earthquake,1,1,17500,23,0,17523,62000
Thailand,2014,THA,Extreme temperature ,1,63,1000000,0,0,1000000,0
Thailand,2014,THA,Flood,4,29,131280,8,0,131288,10000
Thailand,2014,THA,Industrial accident,1,10,0,17,0,17,0
Thailand,2014,THA,Storm,1,0,0,0,2000,2000,0
Thailand,2014,THA,Transport accident,3,75,0,53,0,53,0
Viet Nam,2000,VNM,Flood,2,496,5025000,7,0,5025007,265000
Viet Nam,2000,VNM,Landslide,2,73,0,39,0,39,0
Viet Nam,2000,VNM,Storm,7,23,2505,169,11860,14534,26035
Viet Nam,2000,VNM,Transport accident,1,57,0,11,0,11,0
Viet Nam,2001,VNM,Flood,4,339,1608445,6,0,1608451,88700
Viet Nam,2001,VNM,Miscellaneous accident,1,0,0,4,500,504,0
Viet Nam,2001,VNM,Storm,3,53,177450,89,23100,200639,83200
Viet Nam,2001,VNM,Transport accident,5,70,0,22,0,22,0
Viet Nam,2002,VNM,Drought,1,0,1300000,0,0,1300000,200000
Viet Nam,2002,VNM,Flood,3,147,1431700,116,0,1431816,84100
Viet Nam,2002,VNM,Miscellaneous accident,1,60,0,100,0,100,2000
Viet Nam,2002,VNM,Storm,1,0,1800,0,0,1800,100
Viet Nam,2002,VNM,Wildfire,1,0,0,0,0,0,0
Viet Nam,2003,VNM,Epidemic,2,20,66,0,0,66,0
Viet Nam,2003,VNM,Flood,3,128,402880,63,13880,416823,105000
Viet Nam,2003,VNM,Industrial accident,2,12,3500,35,0,3535,0
Viet Nam,2003,VNM,Miscellaneous accident,1,37,0,55,0,55,0
Viet Nam,2003,VNM,Storm,1,0,0,18,5000,5018,0
Viet Nam,2003,VNM,Transport accident,1,14,0,6,0,6,0
Viet Nam,2004,VNM,Epidemic,1,42,51,0,0,51,0
Viet Nam,2004,VNM,Flood,3,96,35000,18,0,35018,8000
Viet Nam,2004,VNM,Industrial accident,1,0,0,400,0,400,0
Viet Nam,2004,VNM,Landslide,1,23,0,0,0,0,0
Viet Nam,2004,VNM,Storm,2,70,500900,5,0,500905,30000
Viet Nam,2004,VNM,Transport accident,1,50,0,0,0,0,0
Viet Nam,2005,VNM,Drought,1,0,410000,0,0,410000,42120
Viet Nam,2005,VNM,Epidemic,1,16,83,0,0,83,0
Viet Nam,2005,VNM,Flood,5,192,74185,3,18205,92393,54000
Viet Nam,2005,VNM,Storm,4,116,367632,28,0,367660,250250
Viet Nam,2005,VNM,Transport accident,5,94,1,84,0,85,0
Viet Nam,2006,VNM,Flood,5,178,50000,120,2000,52120,9000
Viet Nam,2006,VNM,Storm,6,401,2944720,1890,350680,3297290,1090000
Viet Nam,2006,VNM,Transport accident,1,19,0,0,0,0,0
Viet Nam,2007,VNM,Epidemic,1,27,0,0,0,0,0
Viet Nam,2007,VNM,Flood,5,230,962000,172,0,962172,790000
Viet Nam,2007,VNM,Industrial accident,2,82,0,80,0,80,2000
Viet Nam,2007,VNM,Storm,1,96,637755,150,47525,685430,191000
Viet Nam,2007,VNM,Transport accident,1,13,0,24,0,24,0
Viet Nam,2008,VNM,Flood,5,157,632500,4,0,632504,483000
Viet Nam,2008,VNM,Storm,5,254,143830,159,12660,156649,190500
Viet Nam,2008,VNM,Transport accident,2,25,0,18,0,18,0
Viet Nam,2009,VNM,Flood,2,37,740000,0,0,740000,0
Viet Nam,2009,VNM,Landslide,1,13,0,1,0,1,0
Viet Nam,2009,VNM,Storm,3,306,2867820,1005,108635,2977460,1065200
Viet Nam,2009,VNM,Transport accident,2,54,36,15,0,51,0
Viet Nam,2010,VNM,Flood,4,186,1489750,83,0,1489833,660200
Viet Nam,2010,VNM,Storm,3,35,32960,20,1620,34600,44500
Viet Nam,2010,VNM,Transport accident,2,64,12,0,0,12,0
Viet Nam,2011,VNM,Flood,3,122,1361570,14,0,1361584,219002
Viet Nam,2011,VNM,Industrial accident,2,35,0,21,0,21,0
Viet Nam,2011,VNM,Storm,2,16,0,63,0,63,0
Viet Nam,2011,VNM,Transport accident,2,28,27,0,0,27,0
Viet Nam,2012,VNM,Flood,1,34,0,40,17500,17540,30000
Viet Nam,2012,VNM,Storm,3,38,59320,107,279545,338972,342800
Viet Nam,2012,VNM,Transport accident,1,35,0,23,0,23,0
